ID,Title,Art URL,Score,Genres
18198,Orphaned Land - Mabool Review,images/18198.jpg,5.0,Progressive Metal|Death Metal|Progressive Death
98,Fejd - Storm,images/98.jpg,4.0,Folk Metal
125,Vienna Teng - Inland Territory,images/125.jpg,5.0,Not Metal
132,Stratovarius - Polaris,images/132.jpg,2.0,Power Metal
136,Crimfall - As the Path Unfolds...,images/136.jpg,3.5,Folk Metal
243,Death Maze - Prodigy of Death Review,images/243.jpg,3.5,Death Metal
255,Suicide Silence - No Time to Bleed Review,images/255.jpg,2.5,
268,Riverside - Anno Domini High Definition Review,images/268.jpg,4.5,Progressive Metal
279,Black Sun Aeon - Darkness Walks Beside Me Review,images/279.jpg,4.0,Death Metal|Doom Metal
331,Swashbuckle - Back to the Noose Review,images/331.jpg,3.0,
345,Valkyrja - The Invocation of Demise,images/345.jpg,2.5,Black Metal
358,Shining - VI/Klagopsalmer Review,images/358.jpg,4.5,Black Metal
370,Beardfish - Destined Solitaire Review,images/370.jpg,3.0,Progressive Metal
392,Sonata Arctica - The Days of Grays Review,images/392.jpg,4.0,Progressive Metal
445,Behemoth - Evangelion Review,images/445.jpg,3.0,Death Metal|Black Metal
469,Vader - Necropolis Review,images/469.jpg,4.5,Death Metal
497,Ravage - The End of Tomorrow Review,images/497.jpg,1.5,Power Metal
505,Hackneyed - Burn After Reaping Review,images/505.jpg,3.5,Death Metal|Doom Metal
509,Guilt Machine - On This Perfect Day,images/509.jpg,4.5,Progressive Metal
517,Threat Signal - Vigilance,images/517.jpg,3.0,Metalcore
524,Havok - Burn Review,images/524.jpg,3.5,Thrash Metal
538,Amon Amarth - The Crusher (Reissue) Review,images/538.jpg,4.0,Death Metal
557,Leaves' Eyes - Njord Review,images/557.jpg,2.5,Power Metal|Progressive Metal
577,The Black Dahlia Murder - Deflorate Review,images/577.jpg,3.5,Death Metal|Metalcore
583,Insomnium - Across the Dark,images/583.jpg,3.0,Melodic Death Metal|Doom Metal|Progressive Metal|Progressive Death|Death Metal
595,Megadeth - Endgame Review,images/595.jpg,4.5,Thrash Metal
611,The Atlas Moth - A Glorified Piece of Blue-Sky Review,images/611.jpg,3.5,Sludge
616,Cormorant - Metazoa Review,images/616.jpg,4.0,Death Metal|Progressive Death|Avante Garde
645,Evergreen Terrace - Almost Home Review,images/645.jpg,2.0,Hardcore|Metalcore
650,Evile - Infected Nations Review,images/650.jpg,3.0,Thrash Metal
656,Austrian Death Machine - Double Brutal Review,images/656.jpg,3.5,
669,Marduk - Wormwood Review,images/669.jpg,4.0,Black Metal
687,Scar Symmetry - Dark Matter Dimensions Review,images/687.jpg,4.5,Progressive Metal|Death Metal|Progressive Death|Melodic Death Metal
704,Belphegor - Walpurgis Rites Review,images/704.jpg,3.5,Death Metal|Black Metal
710,Marionette - Enemies Review,images/710.jpg,2.0,Metalcore
719,Epica - Design Your Universe Review,images/719.jpg,3.5,Power Metal|Progressive Metal
728,Claustrofobia - I See Red Review,images/728.jpg,2.5,Death Metal|Thrash Metal
759,Hypocrisy - A Taste of Extreme Divinity,images/759.jpg,3.5,Death Metal
768,Gorgoroth - Quantos Possunt Ad Satanitatem Trahunt Review,images/768.jpg,3.5,Black Metal
778,Nile - Those Whom the Gods Detest Review,images/778.jpg,3.5,Death Metal
789,Three - Revisions Review,images/789.jpg,3.5,Progressive Metal
797,The Red Chord - Fed Through the Teeth Machine,images/797.jpg,3.0,Metalcore
805,"Arkona - Goi, Rode Goi! Review",images/805.jpg,4.0,Folk Metal
819,Blaze Bayley - The Night That Will Not Die Review,images/819.jpg,3.0,
830,The 11th Hour - Burden of Grief Review,images/830.jpg,5.0,Doom Metal
839,Sonic Syndicate - Rebellion EP Review,images/839.jpg,1.0,Metalcore
852,Månegarm - Nattväsen Review,images/852.jpg,4.5,Death Metal|Folk Metal
